Open,high,low,close,volume,UnixTime
119.250,122.900,115.000,119.900,48187910.6480,2018-02-15
119.900,120.400,116.203,119.400,25399363.9812,2018-02-16
119.400,127.000,118.701,126.897,38651612.7902,2018-02-17
126.850,127.000,113.722,117.000,60765889.1591,2018-02-18
116.999,121.498,116.545,120.140,18157941.8814,2018-02-19
120.270,121.000,111.112,113.386,22041983.0576,2018-02-20
113.121,115.500,102.200,105.480,50514286.9849,2018-02-21
105.480,109.800,95.002,97.180,61818483.5801,2018-02-22
97.181,107.000,93.501,102.900,57561546.7811,2018-02-23
102.999,105.600,96.500,100.000,36432943.5632,2018-02-24
100.003,100.602,92.000,97.600,30639363.8262,2018-02-25
97.600,101.500,94.200,99.422,33582830.3248,2018-02-26
99.422,103.999,98.700,100.198,21593867.8050,2018-02-27
99.970,101.500,95.500,95.799,18975451.2464,2018-02-28
95.799,99.999,95.000,97.606,18959750.5160,2018-03-01
97.777,98.300,95.010,95.658,11741282.5632,2018-03-02
95.724,97.500,95.000,95.270,9221805.2300,2018-03-03
95.270,104.200,93.396,103.000,26546638.6325,2018-03-04
102.920,115.000,100.015,101.089,76923424.0954,2018-03-05
101.001,104.300,96.430,97.280,38876255.7494,2018-03-06
97.238,98.500,90.001,91.499,46166730.8091,2018-03-07
91.499,94.650,87.000,87.250,45950396.2207,2018-03-08
87.201,91.000,80.000,89.301,80010412.2300,2018-03-09
89.300,90.800,84.000,84.289,34272591.5950,2018-03-10
84.289,89.750,81.500,87.960,42421387.8814,2018-03-11
87.960,89.500,83.301,84.810,37735562.0481,2018-03-12
84.810,85.800,83.000,83.614,23405376.9229,2018-03-13
83.730,85.500,71.000,74.479,52942767.9316,2018-03-14
74.460,78.505,68.000,73.600,82666576.5722,2018-03-15
73.602,76.184,71.340,73.101,37388746.5625,2018-03-16
73.101,73.500,66.506,67.970,38456255.4530,2018-03-17
67.999,73.003,57.000,69.609,100430177.4064,2018-03-18
69.609,78.861,66.000,78.500,97119448.3359,2018-03-19
78.399,78.600,71.001,75.579,69629842.5075,2018-03-20
75.579,76.450,71.799,72.923,46184359.5800,2018-03-21
72.979,73.650,65.999,69.400,62965173.7508,2018-03-22
69.400,69.497,65.010,67.668,52385477.5304,2018-03-23
67.680,71.480,66.459,67.000,50551390.9336,2018-03-24
67.000,68.800,66.110,67.384,25245792.5075,2018-03-25
67.384,67.700,60.700,62.600,53024989.8375,2018-03-26
62.650,63.499,59.800,61.100,56360270.1338,2018-03-27
61.100,62.250,60.501,61.497,27172791.6196,2018-03-28
61.495,61.592,52.901,53.000,85115929.9364,2018-03-29
52.951,56.350,50.001,53.095,108452086.0716,2018-03-30
53.065,56.200,53.000,53.890,58553579.2208,2018-03-31
53.889,54.350,48.332,51.374,76643778.6836,2018-04-01
51.374,54.000,50.711,52.630,44678339.5122,2018-04-02
52.635,60.309,52.600,59.286,105389623.5041,2018-04-03
59.203,60.000,52.157,53.050,86037627.3838,2018-04-04
53.100,53.592,50.800,53.001,64670330.6649,2018-04-05
53.001,53.378,50.003,50.903,45058777.7096,2018-04-06
50.903,52.710,50.733,51.946,34234153.8690,2018-04-07
51.943,53.770,51.702,53.500,24475558.1949,2018-04-08
53.451,55.400,51.430,52.668,68563269.0343,2018-04-09
52.668,53.098,51.600,52.420,24671947.0488,2018-04-10
52.450,56.800,52.310,56.102,38565020.1110,2018-04-11
56.190,71.362,53.800,69.650,166198583.4025,2018-04-12
69.537,76.224,66.500,69.900,154138139.6195,2018-04-13
69.776,72.197,67.098,69.282,97785913.4200,2018-04-14
69.282,75.810,69.282,75.597,100061662.9547,2018-04-15
75.597,75.950,68.000,71.462,113313908.2015,2018-04-16
71.464,73.000,70.000,70.720,62594601.5046,2018-04-17
70.788,75.800,70.690,75.800,79363614.8091,2018-04-18
75.800,87.000,75.580,85.499,119806190.6522,2018-04-19
85.499,103.017,85.499,100.299,197557175.7308,2018-04-20
100.298,100.354,86.000,94.200,200192384.2918,2018-04-21
94.177,98.599,91.585,92.800,125363924.2965,2018-04-22
92.800,95.800,92.700,95.500,66415367.7245,2018-04-23
95.490,104.700,95.200,102.400,155182246.5831,2018-04-24
102.402,102.402,83.398,86.999,231034232.8108,2018-04-25
86.922,92.900,83.500,92.500,137853066.7522,2018-04-26
92.563,93.801,87.869,88.200,96427091.3410,2018-04-27
88.200,95.660,87.210,93.500,108114762.8379,2018-04-28
93.501,97.200,91.222,94.278,104567230.4117,2018-04-29
94.250,94.340,90.010,91.283,60396051.7875,2018-04-30
91.282,92.130,87.111,91.410,117877922.8708,2018-05-01
91.412,95.003,91.010,94.230,94134944.1633,2018-05-02
94.229,96.300,92.757,95.900,87212977.6520,2018-05-03
95.899,98.502,94.000,97.122,84126884.3223,2018-05-04
97.167,100.000,96.813,98.300,75057504.4397,2018-05-05
98.351,99.166,92.013,94.430,115502287.1274,2018-05-06
94.449,94.700,87.296,89.800,110663786.9695,2018-05-07
89.800,91.700,85.300,87.404,90866260.8830,2018-05-08
87.486,89.300,82.701,86.916,110500677.9811,2018-05-09
86.915,87.600,81.351,81.800,63801222.0789,2018-05-10
81.884,82.990,70.000,74.118,209645831.1304,2018-05-11
74.198,77.901,69.111,75.399,154559181.9281,2018-05-12
75.378,85.108,73.000,81.068,143688512.4695,2018-05-13
81.068,82.500,76.123,80.419,147516365.0856,2018-05-14
80.469,82.500,75.227,76.618,89392091.3052,2018-05-15
76.561,78.477,73.569,77.967,96133417.3409,2018-05-16
77.954,78.480,72.126,73.037,69512284.3321,2018-05-17
73.057,75.950,72.080,75.084,70896534.0610,2018-05-18
75.064,75.888,73.643,74.898,49364323.5903,2018-05-19
74.858,78.300,74.301,77.662,62478777.6146,2018-05-20
77.708,77.890,75.000,75.548,53625135.5637,2018-05-21
75.589,75.790,71.109,71.353,65943337.1630,2018-05-22
71.370,72.000,64.300,65.492,153649368.0682,2018-05-23
65.428,70.756,64.620,69.370,133063696.9519,2018-05-24
69.360,70.120,66.120,66.801,84134014.9568,2018-05-25
66.837,69.350,66.011,67.382,56776704.3972,2018-05-26
67.382,67.382,65.700,66.600,40215449.2638,2018-05-27
66.629,67.388,59.800,59.979,106378894.3379,2018-05-28
